Simulation Frame;Blob Count
0;49
1;66
2;74
3;74
4;79
5;88
6;88
7;94
8;127
9;132
10;135
11;135
12;136
13;142
14;145
15;154
16;159
17;159
18;159
19;159
20;159
21;159
22;159
23;13
24;49
25;66
26;74
27;74
28;79
29;88
30;88
31;94
32;127
33;132
34;135
35;135
36;136
37;142
38;145
39;154
40;159
41;159
42;159
43;159
44;159
45;159
46;159
47;13
48;49
49;66
50;74
51;74
52;79
53;88
54;88
55;94
56;127
57;132
58;135
59;135
60;136
61;142
62;145
63;154
64;159
65;159
66;159
67;159
68;159
69;159
70;159
71;13
72;49
73;66
74;74
75;74
76;79
77;88
78;88
79;94
80;127
81;132
82;135
83;135
84;136
85;142
86;145
87;154
88;159
89;159
90;159
91;159
92;159
93;159
94;159
95;13
96;49
97;66
98;74
99;74
100;79
101;88
102;88
103;94
104;127
105;132
106;135
107;135
108;136
109;142
110;145
111;154
112;159
113;159
114;159
115;159
116;159
117;159
118;159
119;13
120;49
121;66
122;74
123;74
124;79
125;88
126;88
127;94
128;127
129;132
130;135
131;135
132;136
133;142
134;145
135;154
136;159
137;159
138;159
139;159
140;159
141;159
142;159
143;13
144;49
145;66
146;74
147;74
148;79
149;88
150;88
151;94
152;127
153;132
154;135
155;135
156;136
157;142
158;145
159;154
160;159
161;159
162;159
163;159
164;159
165;159
166;159
167;13
168;49
169;66
170;74
171;74
172;79
173;88
174;88
175;94
176;127
177;132
178;135
179;135
180;136
181;142
182;145
183;154
184;159
185;159
186;159
187;159
188;159
189;159
190;159
191;13
192;49
193;66
194;74
195;74
196;79
197;88
198;88
199;94
200;127
201;132
202;135
203;135
204;136
205;142
206;145
207;154
208;159
209;159
210;159
211;159
212;159
213;159
214;159
215;13
216;49
217;66
218;74
219;74
220;79
221;88
222;88
223;94
224;127
225;132
226;135
227;135
228;136
229;142
230;145
231;154
232;159
233;159
234;159
235;159
236;159
237;159
238;159
239;13
