;SimulationStep;Cycle Step;Cycle;Origin;Destination;Total;age: [children];age: [young];age: [adults];age: [elders];occupation: [idle];occupation: [student];occupation: [worker]
0;0;0;0;Azenha;Azenha;8;0;1;5;2;0;0;8
1;0;0;0;Azenha;Bom Fim;0;0;0;0;0;0;0;0
2;0;0;0;Azenha;Centro;0;0;0;0;0;0;0;0
3;0;0;0;Azenha;Cidade Baixa;0;0;0;0;0;0;0;0
4;0;0;0;Azenha;Farroupilha;0;0;0;0;0;0;0;0
5;0;0;0;Azenha;Floresta;0;0;0;0;0;0;0;0
6;0;0;0;Azenha;Independência;0;0;0;0;0;0;0;0
7;0;0;0;Azenha;Menino Deus;2;0;0;1;1;0;0;2
8;0;0;0;Azenha;Moinhos de Vento;0;0;0;0;0;0;0;0
9;0;0;0;Azenha;Praia de Belas;0;0;0;0;0;0;0;0
10;0;0;0;Azenha;Rio Branco;0;0;0;0;0;0;0;0
11;0;0;0;Azenha;Santa Cecília;0;0;0;0;0;0;0;0
12;0;0;0;Azenha;Santana;1;0;0;1;0;0;0;1
13;0;0;0;Bom Fim;Azenha;0;0;0;0;0;0;0;0
14;0;0;0;Bom Fim;Bom Fim;6;0;0;5;1;0;0;6
15;0;0;0;Bom Fim;Centro;0;0;0;0;0;0;0;0
16;0;0;0;Bom Fim;Cidade Baixa;0;0;0;0;0;0;0;0
17;0;0;0;Bom Fim;Farroupilha;1;0;1;0;0;0;0;1
18;0;0;0;Bom Fim;Floresta;0;0;0;0;0;0;0;0
19;0;0;0;Bom Fim;Independência;2;0;0;2;0;0;0;2
20;0;0;0;Bom Fim;Menino Deus;0;0;0;0;0;0;0;0
21;0;0;0;Bom Fim;Moinhos de Vento;0;0;0;0;0;0;0;0
22;0;0;0;Bom Fim;Praia de Belas;0;0;0;0;0;0;0;0
23;0;0;0;Bom Fim;Rio Branco;1;0;0;1;0;0;0;1
24;0;0;0;Bom Fim;Santa Cecília;0;0;0;0;0;0;0;0
25;0;0;0;Bom Fim;Santana;0;0;0;0;0;0;0;0
26;0;0;0;Centro;Azenha;0;0;0;0;0;0;0;0
27;0;0;0;Centro;Bom Fim;0;0;0;0;0;0;0;0
28;0;0;0;Centro;Centro;9;0;2;3;4;0;0;9
29;0;0;0;Centro;Cidade Baixa;0;0;0;0;0;0;0;0
30;0;0;0;Centro;Farroupilha;0;0;0;0;0;0;0;0
31;0;0;0;Centro;Floresta;0;0;0;0;0;0;0;0
32;0;0;0;Centro;Independência;0;0;0;0;0;0;0;0
33;0;0;0;Centro;Menino Deus;0;0;0;0;0;0;0;0
34;0;0;0;Centro;Moinhos de Vento;0;0;0;0;0;0;0;0
35;0;0;0;Centro;Praia de Belas;0;0;0;0;0;0;0;0
36;0;0;0;Centro;Rio Branco;0;0;0;0;0;0;0;0
37;0;0;0;Centro;Santa Cecília;0;0;0;0;0;0;0;0
38;0;0;0;Centro;Santana;0;0;0;0;0;0;0;0
39;0;0;0;Cidade Baixa;Azenha;0;0;0;0;0;0;0;0
40;0;0;0;Cidade Baixa;Bom Fim;0;0;0;0;0;0;0;0
41;0;0;0;Cidade Baixa;Centro;1;0;0;1;0;0;0;1
42;0;0;0;Cidade Baixa;Cidade Baixa;8;0;1;4;3;0;0;8
43;0;0;0;Cidade Baixa;Farroupilha;1;0;0;1;0;0;0;1
44;0;0;0;Cidade Baixa;Floresta;0;0;0;0;0;0;0;0
45;0;0;0;Cidade Baixa;Independência;0;0;0;0;0;0;0;0
46;0;0;0;Cidade Baixa;Menino Deus;0;0;0;0;0;0;0;0
47;0;0;0;Cidade Baixa;Moinhos de Vento;0;0;0;0;0;0;0;0
48;0;0;0;Cidade Baixa;Praia de Belas;0;0;0;0;0;0;0;0
49;0;0;0;Cidade Baixa;Rio Branco;0;0;0;0;0;0;0;0
50;0;0;0;Cidade Baixa;Santa Cecília;0;0;0;0;0;0;0;0
51;0;0;0;Cidade Baixa;Santana;0;0;0;0;0;0;0;0
52;0;0;0;Farroupilha;Azenha;0;0;0;0;0;0;0;0
53;0;0;0;Farroupilha;Bom Fim;1;0;1;0;0;0;0;1
54;0;0;0;Farroupilha;Centro;0;0;0;0;0;0;0;0
55;0;0;0;Farroupilha;Cidade Baixa;1;0;1;0;0;0;0;1
56;0;0;0;Farroupilha;Farroupilha;7;0;0;3;4;0;0;7
57;0;0;0;Farroupilha;Floresta;0;0;0;0;0;0;0;0
58;0;0;0;Farroupilha;Independência;0;0;0;0;0;0;0;0
59;0;0;0;Farroupilha;Menino Deus;0;0;0;0;0;0;0;0
60;0;0;0;Farroupilha;Moinhos de Vento;0;0;0;0;0;0;0;0
61;0;0;0;Farroupilha;Praia de Belas;0;0;0;0;0;0;0;0
62;0;0;0;Farroupilha;Rio Branco;0;0;0;0;0;0;0;0
63;0;0;0;Farroupilha;Santa Cecília;0;0;0;0;0;0;0;0
64;0;0;0;Farroupilha;Santana;0;0;0;0;0;0;0;0
65;0;0;0;Floresta;Azenha;0;0;0;0;0;0;0;0
66;0;0;0;Floresta;Bom Fim;0;0;0;0;0;0;0;0
67;0;0;0;Floresta;Centro;0;0;0;0;0;0;0;0
68;0;0;0;Floresta;Cidade Baixa;0;0;0;0;0;0;0;0
69;0;0;0;Floresta;Farroupilha;0;0;0;0;0;0;0;0
70;0;0;0;Floresta;Floresta;8;0;1;4;3;0;0;8
71;0;0;0;Floresta;Independência;1;0;0;1;0;0;0;1
72;0;0;0;Floresta;Menino Deus;0;0;0;0;0;0;0;0
73;0;0;0;Floresta;Moinhos de Vento;1;0;0;1;0;0;0;1
74;0;0;0;Floresta;Praia de Belas;0;0;0;0;0;0;0;0
75;0;0;0;Floresta;Rio Branco;0;0;0;0;0;0;0;0
76;0;0;0;Floresta;Santa Cecília;0;0;0;0;0;0;0;0
77;0;0;0;Floresta;Santana;0;0;0;0;0;0;0;0
78;0;0;0;Independência;Azenha;0;0;0;0;0;0;0;0
79;0;0;0;Independência;Bom Fim;2;0;0;0;2;0;0;2
80;0;0;0;Independência;Centro;0;0;0;0;0;0;0;0
81;0;0;0;Independência;Cidade Baixa;0;0;0;0;0;0;0;0
82;0;0;0;Independência;Farroupilha;1;0;0;1;0;0;0;1
83;0;0;0;Independência;Floresta;2;0;0;1;1;0;0;2
84;0;0;0;Independência;Independência;7;0;3;3;1;0;0;7
85;0;0;0;Independência;Menino Deus;0;0;0;0;0;0;0;0
86;0;0;0;Independência;Moinhos de Vento;1;0;0;1;0;0;0;1
87;0;0;0;Independência;Praia de Belas;0;0;0;0;0;0;0;0
88;0;0;0;Independência;Rio Branco;0;0;0;0;0;0;0;0
89;0;0;0;Independência;Santa Cecília;0;0;0;0;0;0;0;0
90;0;0;0;Independência;Santana;0;0;0;0;0;0;0;0
91;0;0;0;Menino Deus;Azenha;2;0;0;1;1;0;0;2
92;0;0;0;Menino Deus;Bom Fim;0;0;0;0;0;0;0;0
93;0;0;0;Menino Deus;Centro;0;0;0;0;0;0;0;0
94;0;0;0;Menino Deus;Cidade Baixa;0;0;0;0;0;0;0;0
95;0;0;0;Menino Deus;Farroupilha;0;0;0;0;0;0;0;0
96;0;0;0;Menino Deus;Floresta;0;0;0;0;0;0;0;0
97;0;0;0;Menino Deus;Independência;0;0;0;0;0;0;0;0
98;0;0;0;Menino Deus;Menino Deus;8;0;2;5;1;0;0;8
99;0;0;0;Menino Deus;Moinhos de Vento;0;0;0;0;0;0;0;0
100;0;0;0;Menino Deus;Praia de Belas;1;0;0;1;0;0;0;1
101;0;0;0;Menino Deus;Rio Branco;0;0;0;0;0;0;0;0
102;0;0;0;Menino Deus;Santa Cecília;0;0;0;0;0;0;0;0
103;0;0;0;Menino Deus;Santana;0;0;0;0;0;0;0;0
104;0;0;0;Moinhos de Vento;Azenha;0;0;0;0;0;0;0;0
105;0;0;0;Moinhos de Vento;Bom Fim;0;0;0;0;0;0;0;0
106;0;0;0;Moinhos de Vento;Centro;0;0;0;0;0;0;0;0
107;0;0;0;Moinhos de Vento;Cidade Baixa;0;0;0;0;0;0;0;0
108;0;0;0;Moinhos de Vento;Farroupilha;0;0;0;0;0;0;0;0
109;0;0;0;Moinhos de Vento;Floresta;0;0;0;0;0;0;0;0
110;0;0;0;Moinhos de Vento;Independência;0;0;0;0;0;0;0;0
111;0;0;0;Moinhos de Vento;Menino Deus;0;0;0;0;0;0;0;0
112;0;0;0;Moinhos de Vento;Moinhos de Vento;8;0;2;4;2;0;0;8
113;0;0;0;Moinhos de Vento;Praia de Belas;0;0;0;0;0;0;0;0
114;0;0;0;Moinhos de Vento;Rio Branco;0;0;0;0;0;0;0;0
115;0;0;0;Moinhos de Vento;Santa Cecília;0;0;0;0;0;0;0;0
116;0;0;0;Moinhos de Vento;Santana;0;0;0;0;0;0;0;0
117;0;0;0;Praia de Belas;Azenha;0;0;0;0;0;0;0;0
118;0;0;0;Praia de Belas;Bom Fim;0;0;0;0;0;0;0;0
119;0;0;0;Praia de Belas;Centro;0;0;0;0;0;0;0;0
120;0;0;0;Praia de Belas;Cidade Baixa;1;0;0;1;0;0;0;1
121;0;0;0;Praia de Belas;Farroupilha;0;0;0;0;0;0;0;0
122;0;0;0;Praia de Belas;Floresta;0;0;0;0;0;0;0;0
123;0;0;0;Praia de Belas;Independência;0;0;0;0;0;0;0;0
124;0;0;0;Praia de Belas;Menino Deus;0;0;0;0;0;0;0;0
125;0;0;0;Praia de Belas;Moinhos de Vento;0;0;0;0;0;0;0;0
126;0;0;0;Praia de Belas;Praia de Belas;9;0;4;3;2;0;0;9
127;0;0;0;Praia de Belas;Rio Branco;0;0;0;0;0;0;0;0
128;0;0;0;Praia de Belas;Santa Cecília;0;0;0;0;0;0;0;0
129;0;0;0;Praia de Belas;Santana;0;0;0;0;0;0;0;0
130;0;0;0;Rio Branco;Azenha;0;0;0;0;0;0;0;0
131;0;0;0;Rio Branco;Bom Fim;1;0;0;1;0;0;0;1
132;0;0;0;Rio Branco;Centro;0;0;0;0;0;0;0;0
133;0;0;0;Rio Branco;Cidade Baixa;0;0;0;0;0;0;0;0
134;0;0;0;Rio Branco;Farroupilha;0;0;0;0;0;0;0;0
135;0;0;0;Rio Branco;Floresta;0;0;0;0;0;0;0;0
136;0;0;0;Rio Branco;Independência;0;0;0;0;0;0;0;0
137;0;0;0;Rio Branco;Menino Deus;0;0;0;0;0;0;0;0
138;0;0;0;Rio Branco;Moinhos de Vento;0;0;0;0;0;0;0;0
139;0;0;0;Rio Branco;Praia de Belas;0;0;0;0;0;0;0;0
140;0;0;0;Rio Branco;Rio Branco;8;0;3;3;2;0;0;8
141;0;0;0;Rio Branco;Santa Cecília;1;0;0;1;0;0;0;1
142;0;0;0;Rio Branco;Santana;0;0;0;0;0;0;0;0
143;0;0;0;Santa Cecília;Azenha;0;0;0;0;0;0;0;0
